Quantity,Designators,Value,Device,Package,MANUFACTURER,PARTNUMBER,DIGIKEY
1,BAT,S2B-XH-A,S2B-XH-A,JST_S2B-XH-A,JST,S2B-XH-A,455-2257-ND
2,"C1, C2",1μF,C-0805,C-0805,Samsung,CL21B105KOFNNNG,1276-6471-1-ND
2,"C3, C4",100nF,C-0805,C-0805,Samsung,CL21B104KACNNNC,1276-1099-1-ND
1,J1,UJC-HP-3-SMT-TR,UJC-HP-3-SMT-TR,CUI_UJC-HP-3-SMT-TR,CUI Devices,UJC-HP-3-SMT-TR,2223-UJC-HP-3-SMT-CT-ND
1,J2,SWD Connector 3220-10-0300-00,CNC Tech 3220-10-0300,CNCTECH_3220-10-0300-XX,CNC Tech,3220-10-0300-00,1175-1629-ND
1,J5,UART,Soldered Wire Connector 2.54mm 1x03 ⌀1.0mm,Soldered Wire Connector 1x03 ⌀1.0mm,Sullins,PPTC031LFBN-RC,S7001-ND
1,J6,,Generic Pin Header 2.54mm 1x02 ⌀1.0mm,Pin Header 2.54mm 1x02 ⌀1.0mm,Adam Tech,PH1-02-UA,2057-PH1-02-UA-ND
1,LED1,R 2V 2.8mA,OSRAM LS R976-NR-1,OSRAM CHIPLED 0805 Diffused,Osram,LS R976-NR-1,475-1278-1-ND
1,R1,10kΩ,Resistor 2012 (0805),RESC2012 (0805),Yageo,RC0805JR-0710KL,311-10KARCT-ND
1,R2,10kΩ,Resistor 2012 (0805),RESC2012 (0805),Yageo,RC0805JR-0710KL,
2,"R3, R4",5.1kΩ,Resistor 2012 (0805),RESC2012 (0805),Yageo,RC0805JR-075K1L,311-5.1KARCT-ND
1,R5,470Ω,Resistor 2012 (0805),RESC2012 (0805),Yageo,RC0805JR-07470RL,311-470ARCT-ND
1,U1,E73-2G4M04S1B,E73-2G4M04S1B,EBYTE_E73-2G4M04S1[AB],Ebyte,E73-2G4M04S1B,
1,U2,SHTC3,SHTC3,Sensirion SHTCx,Sensirion,SHTC3,1649-1100-1-ND
1,U3,TPS7A0333PDBVR 200mA,TPS7A0333PDBVx,SOT95P280X145-5,Texas Instruments,TPS7A0333PDBVR,296-TPS7A0333PDBVRCT-ND
1,U4,SGP40,SGP30,SENSIRION_SGPxx,Sensirion,SGP40,
1,U5,SPS30 (JST S5B-ZR),SPS30 JST ZH,JST_S5B-ZR,JST,S5B-ZR(LF)(SN),455-1672-ND
1,U6,Adafruit VEML7700 Breakout (Socket strip 1x5),Adafruit VEML7700 Breakout,Adafruit VEML7700 Breakout,Sullins,PPTC051LFBN-RC,S6103-ND
